host,interface,admin_status,oper_status,description,mac address,vlan,source_file,source_timestamp
SLON11AC01,Tw4/0/18,up,up,End-User port,00be.4356.8f86,1111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te4/0/48,up,up,End-User port,0892.0476.99c9,1111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Tw4/0/15,up,up,End-User port,0892.0477.ae62,1111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Tw3/0/1,up,up,End-User port,2800.af2c.9fc3,1111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Tw3/0/27,up,up,End-User port,a029.198f.df9c,1111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te3/0/42,up,up,End-User port,b445.06bf.11e3,1111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Tw4/0/34,up,up,End-User port,c047.0e71.79d8,1111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te3/0/38,up,up,End-User port,c047.0e92.ca91,1111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Tw1/0/3,up,up,End-User port,c047.0e92.cb9c,1111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Tw3/0/2,up,up,End-User port,c047.0e92.ccc2,1111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Tw4/0/36,up,up,End-User port,f4ee.08c2.3a63,1111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Tw4/0/12,up,up,End-User port,f4ee.08c3.18c9,1111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te7/0/45,up,up,WAP Port,105f.ad32.d9f8,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/38,up,up,WAP Port,105f.ad33.3b2d,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/37,up,up,WAP Port,40c7.3c04.7ed2,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/40,up,up,WAP Port,40c7.3c04.ca18,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/43,up,up,WAP Port,8494.37eb.636e,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te7/0/45,up,up,WAP Port,9c58.8474.8284,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/40,up,up,WAP Port,9c67.d614.e222,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te7/0/45,up,up,WAP Port,9c67.d614.fbf9,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/37,up,up,WAP Port,b0dc.ef85.e562,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/40,up,up,WAP Port,0ef3.e19c.5351,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te7/0/45,up,up,WAP Port,1203.62ad.c0a0,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/40,up,up,WAP Port,12d2.31ce.c7df,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te7/0/45,up,up,WAP Port,1eac.7c90.d569,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/42,up,up,WAP Port,1ee0.ffd9.fb39,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/37,up,up,WAP Port,26fb.aaf1.29c9,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/40,up,up,WAP Port,2eb7.9a8b.f76d,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/38,up,up,WAP Port,82e3.0b70.3872,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/37,up,up,WAP Port,a29f.511a.4b97,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/42,up,up,WAP Port,a8f7.d999.3e02,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/42,up,up,WAP Port,a8f7.d999.3e14,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/37,up,up,WAP Port,ae96.9dd8.c3a7,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te7/0/45,up,up,WAP Port,c24f.633f.84bd,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/38,up,up,WAP Port,c2f9.65c9.ad30,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/40,up,up,WAP Port,ce41.b2c8.87c6,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/37,up,up,WAP Port,f6a4.1d09.6885,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC01,Te1/0/40,up,up,WAP Port,fa8d.bbca.5e9e,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te1/0/47,up,up,WAP Port,1475.5b28.fa32,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te1/0/48,up,up,WAP Port,5084.9265.c59d,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te2/0/48,up,up,WAP Port,9c67.d6d4.a0e4,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te6/0/47,up,up,WAP Port,a8f7.d99c.bbd1,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Tw5/0/26,,,,00be.4356.99f0,2111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te3/0/41,,,,ac91.a1c8.9d81,2111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Tw4/0/36,up,up,End User Port,b445.06bf.2fb8,2111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te2/0/40,up,up,End User Port,c047.0e92.ca11,2111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te3/0/43,up,up,End User Port,c047.0e92.ce5b,2111,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te2/0/48,up,up,WAP Port,4a0e.fbe1.2874,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te2/0/46,up,up,WAP Port,5a5b.70bf.ae08,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te2/0/48,up,up,WAP Port,5e03.0a35.2c6c,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te2/0/48,up,up,WAP Port,620f.6b58.7a60,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te2/0/46,up,up,WAP Port,9e5f.47d6.63b1,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te6/0/47,up,up,WAP Port,a8f7.d99c.bbd4,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te2/0/48,up,up,WAP Port,a8f7.d99c.c014,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te1/0/48,up,up,WAP Port,a8f7.d99c.c654,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te1/0/47,up,up,WAP Port,a8f7.d99c.c994,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te2/0/48,up,up,WAP Port,bedb.8675.82fd,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON11AC02,Te1/0/48,up,up,WAP Port,ea80.c9a5.eec3,3290,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON12AC01,Tw2/0/13,up,up,End User Port,605b.3000.be3c,1112,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON12AC01,Tw1/0/31,up,up,End User Port,b445.06bf.0ed7,1112,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON12AC01,Tw4/0/24,up,up,End User Port,c047.0e65.cca9,1112,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON12AC01,Te6/0/47,up,up,WAP Port,105f.ad9e.68e9,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON12AC01,Te6/0/45,up,up,WAP Port,40c7.3c06.63c3,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON12AC01,Te6/0/45,up,up,WAP Port,4438.e8df.f3cc,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON12AC01,Te6/0/47,up,up,WAP Port,44a3.bb00.0384,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON12AC01,Te6/0/47,up,up,WAP Port,44a3.bbff.ca21,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON12AC01,Te6/0/46,up,up,WAP Port,4851.c550.f884,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON12AC01,Te6/0/47,up,up,WAP Port,4cb0.4a61.4eaa,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON12AC01,Te6/0/45,up,up,WAP Port,7c21.4a14.6ec3,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON12AC01,Te6/0/45,up,up,WAP Port,7c21.4a9a.12cb,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON12AC01,Te6/0/44,up,up,WAP Port,9c67.d613.5209,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON12AC01,Te7/0/46,up,up,WAP Port,9c67.d613.950c,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
SLON12AC01,Te6/0/44,up,up,WAP Port,a8f7.d99c.b801,1590,interfaces_and_mac_20251020_050242_LON_diff_vs_baseline.csv,20251020_050242
